Model,Pipeline_Raw,Pipeline,Difficulty_Raw,Dificuldade,Section Precision,Section Recall,F1-Score,Section Hit,Exact Match,All Required,Hit@10,Evidence Set Recall@10,MRR@10,nDCG@10,Retrieval Time (s)
Gemma 4:4b,06_naive,Naive RAG,faceis,Fáceis,0.0,0.0,0.0,0.0,0.0,0.0,0.15555555555555556,0.0,0.11061728395061729,0.10460526885552059,0.04186666666666668
Gemma 4:4b,06_naive,Naive RAG,medias,Médias,0.0,0.0,0.0,0.0,0.0,0.0,0.14074074074074072,0.0,0.07817460317460317,0.08674059091342826,0.05506666666666669
Gemma 4:4b,06_naive,Naive RAG,dificeis,Difíceis,0.0,0.0,0.0,0.0,0.0,0.0,0.12037037037037038,0.0,0.06228395061728396,0.0824276856284586,0.0456
Gemma 4:4b,01_standard,Standard RAG,faceis,Fáceis,0.5,1.0,0.6666666666666666,0.0,0.0,1.0,0.20740740740740737,0.0,0.18703703703703706,0.15218456730546476,17.531733333333328
Gemma 4:4b,01_standard,Standard RAG,medias,Médias,0.6444444444444444,0.8111111111111111,0.7044444444444444,0.0,0.0,0.6,0.14814814814814814,0.0,0.12962962962962962,0.11412747863856833,20.118066666666667
Gemma 4:4b,01_standard,Standard RAG,dificeis,Difíceis,0.788888888888889,0.7166666666666667,0.7085714285714285,0.0,0.0,0.4,0.16296296296296295,0.0,0.1611111111111111,0.1443986489895449,32.303666666666665
Gemma 4:4b,02_agentic,Agentic RAG,faceis,Fáceis,0.8666666666666667,0.9333333333333333,0.888888888888889,0.0,0.0,0.9333333333333333,0.18518518518518515,0.0,0.1811111111111111,0.1468980285519551,18.045733333333335
Gemma 4:4b,02_agentic,Agentic RAG,medias,Médias,0.611111111111111,0.611111111111111,0.58,0.0,0.0,0.3333333333333333,0.12962962962962962,0.0,0.10185185185185185,0.08992275905659122,33.07893333333333
Gemma 4:4b,02_agentic,Agentic RAG,dificeis,Difíceis,0.6733333333333333,0.8166666666666667,0.7119047619047619,0.0,0.0,0.6,0.18333333333333332,0.0,0.14037037037037037,0.15167132305730524,27.838466666666665
Gemma 4:4b,03_hybrid_agent,Hybrid Agent RAG,faceis,Fáceis,1.0,1.0,1.0,0.0,0.0,1.0,0.20740740740740737,0.0,0.20444444444444443,0.15617673967107756,15.219933333333334
Gemma 4:4b,03_hybrid_agent,Hybrid Agent RAG,medias,Médias,0.7555555555555556,0.711111111111111,0.6977777777777778,0.0,0.0,0.4,0.14814814814814814,0.0,0.14666666666666667,0.11414784447036555,23.77466666666667
Gemma 4:4b,03_hybrid_agent,Hybrid Agent RAG,dificeis,Difíceis,0.7266666666666667,0.8277777777777777,0.7288888888888889,0.0,0.0,0.5333333333333333,0.17962962962962964,0.0,0.1416931216931217,0.1508535309934069,26.36433333333333
Gemma 4:4b,04_fusion,Fusion RAG,faceis,Fáceis,0.7,0.9333333333333333,0.7777777777777778,0.0,0.0,0.9333333333333333,0.14814814814814817,0.0,0.18148148148148147,0.12512434669115366,15.658933333333332
Gemma 4:4b,04_fusion,Fusion RAG,medias,Médias,0.4722222222222222,0.6444444444444444,0.526984126984127,0.0,0.0,0.3333333333333333,0.1259259259259259,0.0,0.18888888888888888,0.13015372056684557,21.389266666666668
Gemma 4:4b,04_fusion,Fusion RAG,dificeis,Difíceis,0.5666666666666667,0.6277777777777778,0.5480952380952381,0.0,0.0,0.3333333333333333,0.1259259259259259,0.0,0.1685185185185185,0.12464660579709605,24.419400000000003
Gemma 4:4b,05_graph,Graph RAG,faceis,Fáceis,0.4966666666666667,0.7333333333333333,0.548888888888889,0.0,0.0,0.7333333333333333,0.17407407407407408,0.0,0.16296296296296295,0.1213837238728727,0.02493333333333334
Gemma 4:4b,05_graph,Graph RAG,medias,Médias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.037800000000000014
Gemma 4:4b,05_graph,Graph RAG,dificeis,Difíceis,0.4166666666666667,0.5111111111111112,0.4488888888888889,0.0,0.0,0.2,0.1074074074074074,0.0,0.09037037037037036,0.07831745228927821,0.023200000000000005
Gemma 4:4b,07_guarded,Guarded RAG,faceis,Fáceis,0.19476190476190475,1.0,0.3228571428571429,0.0,0.0,1.0,0.2222222222222222,0.0,0.21851851851851853,0.15599646597390998,111.72706666666667
Gemma 4:4b,07_guarded,Guarded RAG,medias,Médias,0.3980952380952381,0.9444444444444444,0.5416931216931217,0.0,0.0,0.8666666666666667,0.14814814814814814,0.0,0.17222222222222222,0.13310858706395495,89.20819999999999
Gemma 4:4b,07_guarded,Guarded RAG,dificeis,Difíceis,0.41523809523809524,0.9222222222222223,0.5471043771043771,0.0,0.0,0.7333333333333333,0.13333333333333333,0.0,0.14148148148148149,0.12246685377898398,38.22426666666666
MedGemma 4b,06_naive,Naive RAG,faceis,Fáceis,0.0,0.0,0.0,0.0,0.0,0.0,0.15555555555555556,0.0,0.11061728395061729,0.10460526885552059,0.029933333333333347
MedGemma 4b,06_naive,Naive RAG,medias,Médias,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030200000000000008
MedGemma 4b,06_naive,Naive RAG,dificeis,Difíceis,0.0,0.0,0.0,0.0,0.0,0.0,0.12037037037037038,0.0,0.06228395061728396,0.0824276856284586,0.04873333333333334
MedGemma 4b,01_standard,Standard RAG,faceis,Fáceis,0.43333333333333335,0.9333333333333333,0.5888888888888888,0.0,0.0,0.9333333333333333,0.1962962962962963,0.0,0.15246913580246912,0.13387785447410522,2.9435333333333333
MedGemma 4b,01_standard,Standard RAG,medias,Médias,0.5055555555555555,0.8444444444444444,0.6136507936507937,0.0,0.0,0.6666666666666666,0.15185185185185185,0.0,0.11370370370370371,0.10835408936737119,2.5498666666666665
